Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,Time_sec,location_short,time,SEL_dB,tags,type,operator
Mon 03:07:56 PM,41.7952,12.2162,← 250°,163.0,188.0,"1,100","2,109",FlightAware ADS-B (FCO / LIRF),Arrivals,KLM1608,2025-03-24 22:14:54,54476,Da,2025-03-24 11:26:29,78.3267559870196,Aalsmeerbaan36R_L,Boeing 737-800,KLM
Mon 03:07:57 PM,52.0842,4.969,↓ 179°,216.0,249.0,"2,850",29,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1048,2025-03-24 20:37:17,54477,Da,2025-03-24 09:23:48,72.89411408419588,Zwanenburgbaan36C_L,Boeing 777-300ER,KLM
Mon 03:08:08 PM,52.1715,4.7255,↑ 3°,159.0,183.0,"2,600",-850,FlightAware ADS-B (AMS / EHAM),Arrivals,BAW442,2025-03-24 20:17:24,54488,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:08:09 PM,52.1641,4.8475,↓ 181°,367.0,422.0,"11,525","1,750",FlightAware ADS-B (LEY / EHLE),Departures,IBS1794,2025-03-24 20:17:24,54489,Da,2025-03-24 17:42:28,67.29988761941017,Zwanenburgbaan36C_L,Airbus A320 214,Iberia
Mon 03:08:11 PM,52.1163,4.7612,↑ 3°,196.0,226.0,"2,825",-192,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM896,2025-03-24 20:37:17,54491,Ku,2025-03-24 19:10:34,69.8932725457443,Aalsmeerbaan36R_L,Boeing 777-200,KLM
Mon 03:08:19 PM,52.2182,6.9649,↖ 318°,416.0,479.0,"24,425","-2,529",FlightAware ADS-B,Arrivals,KLM1824,2025-03-24 20:37:17,54499,Da,2025-03-24 14:45:43,77.95329219067148,Aalsmeerbaan36R_L,Embraer ERJ 170-200 STD,KLM
Mon 03:08:25 PM,37.8099,23.8001,← 303°,278.0,320.0,"6,125","2,500",FlightAware ADS-B (LGTT),Arrivals,TRA6866,2025-03-24 23:13:46,54505,Co,2025-03-24 22:00:20,80.97888705572194,Zwanenburgbaan36C_L,Boeing 737-800,Transavia
Mon 03:08:27 PM,52.1795,20.919,← 295°,160.0,184.0,"1,900","1,359",FlightAware ADS-B (WAW / EPWA),Arrivals,KLM1318,2025-03-24 21:55:22,54507,Da,2025-03-24 13:36:37,77.43144396074753,Aalsmeerbaan36R_L,Boeing 737-800,KLM
Mon 03:08:28 AM,41.8824,108.5576,← 260°,413.0,475.0,"34,100",89,FlightAware ADS-B (ZMKB),Arrivals,KLM896,2025-03-24 20:37:17,11308,Ku,2025-03-24 19:10:34,69.8932725457443,Aalsmeerbaan36R_L,Boeing 777-200,KLM
Mon 03:08:28 PM,41.7971,12.1814,← 302°,201.0,231.0,"2,050","2,016",FlightAware ADS-B (LIRL),Arrivals,KLM1608,2025-03-24 22:14:54,54508,Da,2025-03-24 11:26:29,78.3267559870196,Aalsmeerbaan36R_L,Boeing 737-800,KLM
